SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
133030001,-82.8069,32.9674,15.069724,9.344000053,0.23831683,0.72113335,25.92581,0.014623282,1.3751448,143.5,1221802.31515228,-422184.842452488
60250007,-115.539,32.9783,18.014221,9.680645097,0.15531361,0.37425,32.713783,0.007863537,2.6196105,-36.5,-1802305.49995499,-319979.897335427
450190048,-80.065,32.9803,14.16564,7.702352935,0.25517046,0.6594167,26.635769,0.01698655,1.7206986,8.75,1473310.31379442,-381879.535684838
60731017,-117.082,32.9854,8.578165,8.590322571,0.107619636,0.38838333,20.424055,0.01129538,1.9174162,218.75,-1942204.79888605,-288806.136731428
50030005,-91.9392,33.1395,15.314209,9.945161204,0.24186538,0.77283335,26.452068,0.017107308,1.3794123,49.75,376342.770988554,-479880.295185857
11250004,-87.4842,33.1899,14.326502,9.396296236,0.2298427,0.7841333,26.478027,0.015651207,1.4634839,112.5,787899.463134118,-446971.04894235
51390006,-92.6723,33.2206,14.975868,10.56333336,0.2429468,0.7599667,26.99069,0.016569395,2.089521,77.5,308115.142564448,-473473.70929545
10270001,-85.8036,33.2849,14.327293,8.606451634,0.2381279,0.82383335,24.535011,0.015239194,1.5426121,359,941708.602329942,-421122.142994306
10731005,-87.0036,33.3311,14.461083,9.883870971,0.24051808,0.68881667,26.294743,0.015719587,1.8368523,161.5,830746.109858801,-427180.630696363
40213002,-111.503,33.4212,19.592327,5.403333346,0.11608176,0.20106667,32.938545,0.007954552,2.3447883,628.5,-1425734.79800241,-339920.335166497
40137020,-111.855,33.4881,15.256221,6.725000009,0.16198102,0.1999,33.66962,0.008263218,1.495797,377,-1456568.29730603,-327212.626481742
10732003,-86.9242,33.4997,14.461083,10.01935485,0.2389367,0.67158335,26.459167,0.015337341,1.8113745,184,836260.532431925,-407741.668121579
40139997,-112.096,33.5038,15.256221,5.693333332,0.15212838,0.114716664,34.9209,0.008041038,1.5276664,333,-1478202.43013655,-321762.691734544
10732059,-86.8441,33.5214,14.034117,11.13749993,0.23744872,0.66648334,26.38267,0.01520656,1.8248358,177.75,843385.204706526,-404621.381960443
10731010,-86.5492,33.5453,13.797284,9.987500042,0.23181081,0.7871,25.289835,0.015381822,1.6957461,233.25,870196.350804232,-399306.06388998
10730023,-86.815,33.5531,14.034117,11.17741939,0.23744872,0.66648334,26.38267,0.01520656,1.8248358,177.75,845715.715579292,-400838.688667504
130630091,-84.3907,33.6108,13.66922,9.899999957,0.2565435,0.5704333,25.832668,0.015404192,0.84379977,296.25,1067154.80542739,-370031.802160077
60592022,-117.676,33.63,12.567975,8.561538485,0.10068182,0.43995,21.08376,0.010790481,1.2628736,235.5,-1979714.97123563,-206391.108338415
130890002,-84.2905,33.6878,13.66922,9.19295773,0.25125274,0.68826663,26.030722,0.015084115,0.9010518,296.75,1075261.83082082,-360365.593735247
60652002,-116.215,33.7085,8.101863,9.067741963,0.13928902,0.172,34.07702,0.008015491,2.703665,39.25,-1846520.70720926,-227245.814333569
450370001,-81.8536,33.74,13.73859,8.569230758,0.2343721,0.7616,25.533464,0.015544732,1.1774819,173.75,1296661.50648604,-324174.569610408
131210056,-84.3914,33.7784,13.66922,10.55624999,0.25841758,0.65099996,26.009312,0.015275425,0.6862126,284.5,1064809.36899481,-351455.995314517
60374004,-118.175,33.7924,15.542971,8.809302306,0.15164828,0.23441666,20.922789,0.01137148,1.9539583,16.25,-2020274.02097497,-178227.502305813
131210039,-84.4356,33.8022,13.66922,10.18709683,0.25841758,0.65099996,26.009312,0.015275425,0.6862126,284.5,1060452.36890575,-349310.842511938
60374002,-118.189,33.8238,15.542971,8.762068905,0.15164828,0.23441666,20.922789,0.01137148,1.9539583,16.25,-2020714.52109109,-174516.65034034
60590007,-117.938,33.8306,12.567975,9.620430077,0.13410135,0.22825,21.757067,0.011295733,1.661421,50,-1998092.41242365,-179084.452262006
60655001,-116.541,33.8527,8.101863,8.496774181,0.10965517,0.23900001,33.93477,0.007431606,2.8208287,161.5,-1872382.20937363,-205125.195877685
60374008,-118.201,33.8597,15.542971,10.03068179,0.15164828,0.23441666,20.922789,0.01137148,1.9539583,16.25,-2020858.80140578,-170359.084867735
60371302,-118.205,33.9014,15.542971,9.794623671,0.13062069,0.23123333,21.853344,0.01122218,1.6111741,26.5,-2020137.3935382,-165741.033868511
10550010,-85.9926,33.9915,13.545932,9.109677453,0.22620653,0.6997833,25.69587,0.015684169,1.0007043,190.25,916021.971190292,-344484.601685232
60658001,-117.416,33.9996,9.855985,13.13103447,0.14212576,0.19305,23.885695,0.01038829,2.5182245,267.5,-1947146.89800035,-171523.733873914
60371602,-118.068,34.0103,11.588118,10.36250007,0.14251266,0.23838334,22.217548,0.01097914,1.4844939,53.75,-2005098.48212921,-156801.308950399
130670003,-84.6074,34.0154,12.522361,9.61935484,0.25187778,0.5836333,25.367704,0.015141008,1.2852559,333,1041925.27274563,-327560.679118546
60710027,-117.617,34.0308,9.855985,13.95543479,0.14428143,0.25813335,23.308317,0.01054592,2.336183,235,-1964320.73751587,-163989.323355637
450630008,-81.155,34.051,13.1753845,8.711956501,0.23271579,0.68271667,26.324022,0.015366263,1.5291214,104.25,1354779.50612226,-280080.157935787
60371103,-118.227,34.0666,11.588118,11.78478257,0.13232903,0.31425,21.657562,0.010780032,1.6886526,154,-2017823.49700281,-147313.741433882
450790007,-80.9623,34.094,12.98713,8.586666679,0.23319355,0.6727167,26.685726,0.01520793,1.5362726,89.25,1371462.23886349,-272569.373185862
60719004,-117.274,34.1067,8.428853,13.31333334,0.13250288,0.20796667,25.693836,0.009731261,2.1669044,330.25,-1931796.06932018,-162752.276980487
60372005,-118.127,34.1326,11.588118,11.49199997,0.13437267,0.30965,22.617643,0.010690384,1.419058,106.5,-2007208.13612407,-142254.427767597
60370002,-117.924,34.1365,9.855985,11.72500005,0.11499401,0.50333333,22.826128,0.010868176,1.2213587,346.75,-1989023.11321447,-146098.320495161
60371201,-118.533,34.1992,11.588118,10.11612908,0.1443395,0.3681,23.517511,0.009950698,1.6774026,277.25,-2041602.58617151,-126365.683141207
450410003,-79.7673,34.2143,13.565517,8.270967745,0.24401923,0.6788,26.243502,0.015757967,1.6226958,41,1477139.96985226,-241393.407544636
60718001,-116.861,34.2646,8.428853,4.330769209,0.10512426,0.38618332,17.364708,0.005014864,1.8439832,2100.75,-1891060.31835965,-153840.275435549
10491003,-85.9699,34.2886,13.545932,8.596774224,0.21906452,0.7564667,24.42086,0.015083735,1.23024,323.75,914593.597440125,-311241.189541701
50510003,-93.0002,34.4694,14.693183,9.706451601,0.2324945,0.7728833,25.549845,0.016554138,1.2603974,131.75,273361.428241842,-335020.549613069
50010011,-91.559,34.5185,14.663644,9.510344867,0.2105283,0.64883333,26.539188,0.01633748,2.964735,62.5,404356.437329348,-324395.031628526
11030011,-86.9675,34.5307,13.543763,8.633333373,0.24521428,0.59001666,25.556257,0.015336571,1.8073483,204,821347.811238472,-293418.227024208
51130002,-94.2262,34.5837,13.6020155,9.99677412,0.22749451,0.75203335,25.945679,0.016867967,1.3112001,317.75,161419.172098449,-325046.809488263
450250001,-80.1988,34.6154,13.178352,8.33913036,0.23435052,0.72963333,26.061415,0.014979327,1.4785541,104.5,1430819.24190076,-203781.850896373
51191008,-92.3287,34.6813,14.551684,10.90344832,0.25540778,0.6234,26.4712,0.016144324,1.7722871,102.5,333609.987610824,-309192.735719082
10890014,-86.5882,34.6855,13.150575,8.738709711,0.25374117,0.6235833,25.141779,0.015371472,2.1839063,311.75,854016.158076193,-272843.559598754
450450016,-82.2567,34.7518,12.244848,8.676923009,0.23615465,0.7011833,25.204752,0.014814785,1.9230106,260.25,1243674.49318161,-217667.380670352
51190007,-92.2813,34.7562,14.551684,10.17252744,0.25540778,0.6234,26.4712,0.016144324,1.7722871,102.5,337587.284679872,-300653.912650026
10331002,-87.6381,34.7626,13.422004,8.895000052,0.27281374,0.66043335,25.200373,0.015868183,1.3506397,158,758253.068228943,-273163.254061335
450450015,-82.4146,34.8439,11.606907,8.223750007,0.24839449,0.72465,25.35019,0.015079831,1.5756261,293.5,1228015.88933812,-209524.573721426
401210415,-95.7844,34.8856,14.495014,7.893750086,0.21574561,0.7068167,26.169092,0.015822483,2.240276,240.5,19544.5215632704,-292762.255527646
450830011,-81.9248,34.9556,12.244848,7.97078647,0.23446153,0.74796665,24.715387,0.014495619,1.0113609,255.75,1270127.48794077,-190722.580593714
132950002,-85.3009,34.9788,12.9449005,8.782608696,0.2534898,0.72686666,25.743135,0.015224225,1.0675803,208.75,966674.176755536,-227884.439945227
470650031,-85.2429,34.9944,12.9449005,8.664516103,0.23840404,0.67184997,25.185669,0.015126576,1.0191643,226.5,971695.049720431,-225558.652600522
370510009,-78.9531,35.0414,13.206673,8.756249964,0.23402062,0.6266,26.557535,0.015529723,2.0590851,55,1533949.01836156,-137404.582029077
470654002,-85.293,35.0509,12.493746,8.296774172,0.25485566,0.78541666,25.591574,0.015214535,0.82622504,228.75,966477.966289091,-219788.130857345
471570024,-90.0416,35.1512,13.682413,9.37096775,0.2329091,0.44323334,26.672758,0.016443629,2.0418546,69.75,537924.152781224,-246198.167437255
471570075,-89.8503,35.1517,13.682413,8.885185153,0.23721506,0.6393333,26.403872,0.016519284,1.8894078,83,555167.354337985,-245042.143346659
471570100,-89.8707,35.1613,13.682413,8.687096765,0.23721506,0.6393333,26.403872,0.016519284,1.8894078,83,553259.053999977,-244089.086080623
400790467,-94.7866,35.1863,13.229293,6,0.21402021,0.78835,25.97934,0.015579131,2.1425757,212.75,109564.38769541,-258439.790246856
50350005,-90.1931,35.1973,13.682413,8.806896506,0.22447619,0.65886664,26.098759,0.016757663,2.3035223,64.25,523948.959892463,-241895.648579591
371190045,-80.8741,35.2132,12.816628,9.4375,0.25214002,0.63808334,25.518993,0.014966946,1.1996931,205.5,1359599.00301356,-147700.093337879
371190041,-80.7857,35.2401,12.816628,9.26129032,0.2551604,0.65351665,25.359198,0.014958498,1.3313859,236,1366997.1889419,-143459.838375974
60290016,-118.998,35.3246,8.639895,12.16774187,0.1367043,0.22488333,29.020645,0.008423177,2.4562566,116.75,-2052749.60751572,5939.99542334922
60290014,-119.063,35.3566,8.639895,10.15777781,0.13167204,0.24871667,29.053442,0.008497132,2.4419405,120,-2057576.51138602,10822.520174012
60290010,-119.015,35.3856,8.639895,10.45806446,0.1367043,0.22488333,29.020645,0.008423177,2.4562566,116.75,-2052599.89894969,12935.4370950879
401359021,-94.5244,35.4081,13.229293,8.819354888,0.21387736,0.73505,26.271828,0.01623782,2.0906827,220.5,132852.675660933,-233284.509940754
370990006,-83.2779,35.4668,9.980041,7.693103412,0.23132673,0.8218833,21.901915,0.014414662,0.8346422,632.25,1141159.48104831,-151247.72340668
401090035,-97.5271,35.4729,12.940155,8.762500077,0.20694117,0.43481666,27.059553,0.015257431,3.2543128,382.75,-137372.434507351,-225958.989858672
370210034,-82.5844,35.6062,9.782817,7.419999933,0.23906481,0.7722,21.75677,0.013509596,0.96477014,664,1200767.18624906,-127245.205744698
401091037,-97.4751,35.6141,12.589168,8.799999952,0.19430894,0.48983333,26.979403,0.015364259,3.1199126,356.5,-132449.749721598,-210228.540140825
50670001,-91.1889,35.6373,13.159499,8.881481436,0.22062963,0.64521664,25.776281,0.016233198,2.2512896,70.75,431691.772932682,-197729.625809516
371470006,-77.3601,35.6413,13.217419,7.790000057,0.23600918,0.67471665,25.987585,0.01507451,2.043255,7.75,1662445.71631533,-44649.9265565836
370350004,-81.3656,35.7289,11.004532,8.699999809,0.22048077,0.6914833,24.2162,0.014216771,0.99284077,293.5,1306921.89333555,-97576.7368119888
370570002,-80.2627,35.8145,12.650379,8.443750039,0.23883674,0.78791666,24.558182,0.014744629,1.6000079,217.75,1402966.28774804,-72389.7472705025
371830014,-78.5742,35.8561,12.907659,9.058064538,0.23084259,0.6985,25.70117,0.0151094,0.8764368,82.25,1551037.46644447,-41559.095733291
40011235,-109.438,35.8804,5.6912475,3.850000143,0.1595303,0.17245,22.956388,0.005538345,3.0110903,1944.5,-1198432.16078385,-96568.7163774224
470930028,-84.036,35.9446,11.111761,8.458064441,0.26313186,0.70704997,24.163359,0.015258618,1.0114459,328.75,1066813.16566798,-107011.523934656
470931017,-83.9507,35.9781,11.111761,9.103225839,0.2617604,0.6302,24.694265,0.0152468,0.93588763,292.25,1073904.23316634,-102329.369863222
470931013,-83.9258,35.9807,11.111761,8.535714269,0.2617604,0.6302,24.694265,0.0152468,0.93588763,292.25,1076074.63343219,-101758.898739416
470931020,-83.8738,36.0192,11.111761,8.390322639,0.24981818,0.7571667,24.59168,0.015127154,1.0120584,262.25,1080135.20952442,-96892.5435337601
370670030,-80.342,36.0266,12.002892,8.379999828,0.23331818,0.76783335,24.20598,0.014838454,1.6224377,237.5,1392065.53875561,-50129.0109412851
370630015,-78.904,36.033,12.950937,8.8967742,0.23475,0.8201333,25.164373,0.014668959,1.0887568,121.5,1518458.70674223,-27402.1029704124
60310004,-119.566,36.1022,9.2529,8.948387023,0.13332461,0.59536666,26.405848,0.010497226,2.0392492,57.75,-2081049.69041959,102752.474532351
370670022,-80.2245,36.1109,12.002892,8.588461582,0.23044445,0.71353334,24.231115,0.014854738,1.7641519,254.75,1400856.08731966,-39090.5970937636
320030540,-115.079,36.1419,8.825799,5.690322515,0.13678363,0.15703334,33.1904,0.004958989,1.8053917,612,-1689908.53251475,18048.7622737812
470370040,-86.7341,36.1424,12.534888,9.597560912,0.2737952,0.48143333,25.673328,0.015162001,1.8135269,139.75,824945.609584686,-111852.827380506
320030561,-115.114,36.164,8.825799,6.070967774,0.13678363,0.15703334,33.1904,0.004958989,1.8053917,612,-1692472.29030802,21096.9024910545
470370023,-86.7389,36.1764,12.534888,8.652631499,0.2737952,0.48143333,25.673328,0.015162001,1.8135269,139.75,824149.125879526,-108104.701480572
51430005,-94.1168,36.1797,12.187447,8.070967674,0.21425274,0.6494833,24.159765,0.015122656,2.4506996,404.75,167833.988311209,-146261.111997123
401431127,-95.9765,36.2049,14.12767,8.061290256,0.19762832,0.7244833,26.30665,0.016198935,2.4920945,219.25,2093.79912403551,-145101.474874172
471650007,-86.6531,36.2976,12.534888,8.573333306,0.24768181,0.82350004,25.30867,0.014600995,2.0134215,187,830427.018246943,-93848.2217210274
61072002,-119.291,36.3322,9.2529,10.43000002,0.11103315,0.56769997,26.681293,0.010463406,2.0916054,113,-2051006.0150106,121755.103168406
50070003,-94.2292,36.4352,12.187447,7.391666691,0.19939561,0.80485,24.433783,0.015644986,1.9490353,357.5,157284.689174354,-117840.996053607
50070002,-94.2057,36.4597,12.187447,7.850000024,0.19939561,0.80485,24.433783,0.015644986,1.9490353,357.5,159319.929051995,-115057.931315456
60271003,-117.871,36.4878,7.3212857,4.258064516,0.15893888,0.11118333,28.086803,0.004697633,3.2594326,1155.25,-1924274.21735302,108995.049915386
