ID,MLR,ANN,GWR,GWANN,GNNWR,AGWNN
151,0.735794224,0.736827123,0.965918802,0.974300056,0.977128857,0.978710756
152,0.701085732,0.70906046,0.967972199,0.974411585,0.980973201,0.979633372
153,0.709927754,0.71018397,0.96619808,0.972064396,0.974627281,0.978735767
154,0.708412455,0.709706908,0.965255429,0.971427618,0.973899615,0.976116133
155,0.664129336,0.662512533,0.965478401,0.972468802,0.969093343,0.974331527
156,0.724053192,0.727055317,0.971935465,0.976628765,0.975888363,0.977911329
157,0.659378494,0.655987661,0.957834991,0.967308936,0.964950594,0.976246304
158,0.70381815,0.700150614,0.965755468,0.976267157,0.976547095,0.978713734
159,0.689929327,0.685436184,0.965742927,0.973151492,0.971072599,0.979751569
160,0.663022314,0.667001056,0.967660815,0.973971347,0.973691128,0.977063756
161,0.696110184,0.698964035,0.962228072,0.97103726,0.972211684,0.975409936
162,0.640431852,0.63471647,0.969819826,0.974378238,0.977697218,0.978182695
163,0.731538814,0.731967827,0.971482664,0.975677128,0.978270345,0.978022643
164,0.715183356,0.717270415,0.965732966,0.970463216,0.975752482,0.979132076
165,0.709549552,0.714199927,0.96326889,0.971426701,0.972461428,0.976861031
166,0.683708684,0.677436798,0.965629477,0.972305568,0.975258929,0.97673039
167,0.715951627,0.715494749,0.964996094,0.970518972,0.977192386,0.97706071
168,0.719393846,0.723692917,0.972035731,0.976286564,0.977247154,0.979619503
169,0.70211052,0.705212658,0.967992871,0.974345288,0.975810179,0.975315471
170,0.701741561,0.706444165,0.965730459,0.971321505,0.976102199,0.976183429
171,0.710141294,0.712255526,0.966363241,0.972193718,0.973660653,0.979811447
172,0.678898819,0.677807358,0.953151269,0.966032816,0.975695421,0.974977384
173,0.652014895,0.644329958,0.961206629,0.971540215,0.970764891,0.976604981
174,0.706506218,0.711922495,0.961638399,0.971207737,0.971298061,0.978189106
175,0.685156511,0.679202152,0.960920605,0.970312289,0.973736362,0.973898405
176,0.696252896,0.690870862,0.961863718,0.969287619,0.9757653,0.979514215
177,0.754661415,0.759191705,0.963669422,0.971275379,0.976944248,0.979147137
178,0.739863577,0.740377567,0.972765142,0.975320297,0.973526263,0.980934847
179,0.746035699,0.742816364,0.969834782,0.973262916,0.977166186,0.979249499
180,0.708714542,0.706300043,0.967199956,0.973756826,0.973729364,0.979274837
181,0.676836309,0.678746645,0.960043099,0.966189066,0.970866437,0.977565346
182,0.690431484,0.690856098,0.969150623,0.975665892,0.975936416,0.97731871
183,0.694693091,0.694467199,0.968764374,0.975367745,0.969176688,0.978666768
184,0.69481542,0.686893803,0.969115885,0.974200819,0.976514131,0.979171371
185,0.719546741,0.717930899,0.967762934,0.973829387,0.974737565,0.978370949
186,0.67361051,0.67462853,0.96627234,0.972828747,0.973272112,0.975126214
187,0.720030259,0.719341631,0.970869525,0.976916463,0.97968422,0.979637368
188,0.698992855,0.701205798,0.966138422,0.973541132,0.978264757,0.9790002
189,0.687981329,0.684747382,0.969297015,0.975276107,0.980554834,0.981038693
190,0.687581749,0.689805538,0.963427021,0.970575633,0.97271473,0.97804235
191,0.722299184,0.72284658,0.972692359,0.978522435,0.977024384,0.981088063
192,0.693062469,0.69864083,0.964741219,0.9702731,0.976414593,0.974004286
193,0.667627726,0.664770656,0.966138429,0.972037303,0.970934362,0.976133302
194,0.69973643,0.697231481,0.970466721,0.976415961,0.972922247,0.976161165
195,0.722685171,0.722425975,0.971523632,0.976852239,0.978552409,0.977372864
196,0.662067492,0.658104265,0.963247253,0.97204736,0.964657049,0.974055114
197,0.687022094,0.686758199,0.965755721,0.97285399,0.97187932,0.975654553
198,0.669042702,0.671261755,0.96886889,0.972784024,0.970826625,0.978077196
199,0.718486317,0.716776801,0.964459759,0.973638825,0.976810272,0.979146779
200,0.677707437,0.676165592,0.964045375,0.97140366,0.976909927,0.976468587
201,0.707854108,0.712453853,0.960447956,0.971208179,0.978297032,0.977859233
202,0.683660553,0.679870356,0.966944384,0.972632735,0.972159113,0.978292254
