UTM-X,UTM-Y,X1,X2,X3,X4,Y,LL-X,LL-Y
586787.125,4511442.5,2,1,1,4.67,363.9673913,-73.97196,40.74936
584756.8125,4508165,2,2,1,4.82,130.6630435,-73.99645,40.72005
591926.3125,4505469,1,2,1,4.89,45,-73.91197,40.695
588078,4513655,2,1,1,4.72,145,-73.95636,40.76915
589259.0625,4507256.5,2,1,1,4.69,83,-73.94328,40.71139
587844.25,4503808,4,1,2,4.54,100,-73.96051,40.68048
585600.125,4509236,2,1,1,4.69,150,-73.98632,40.72961
584463.125,4511182.5,3,2,1,5,254.3478261,-73.99952,40.74726
585260.9375,4504577,2,1,1,4.89,165,-73.99097,40.68768
586320.375,4510702,2,1,1,4.7,217.6086957,-73.97759,40.74274
589652.5625,4504822,3,1,1,4.35,98.54347826,-73.93897,40.68942
587837.1875,4507619,2,1,1,4.88,194.0108696,-73.96006,40.71481
585915.125,4508440.5,1,1,1,0,60,-73.9827,40.72241
589137.6875,4518104,3,1,2,4.9,160,-73.94317,40.80911
586830.1875,4503574,2,1,1,4.58,100.6304348,-73.97254,40.67848
587309.375,4503362,2,1,1,4.96,199,-73.9669,40.67652
589261.1875,4508483,2,1,1,4.91,75.45652174,-73.94308,40.72244
586719.75,4504779.5,3,1,1,4,138,-73.97368,40.68935
590437.25,4504439.5,2,1,1,4.69,117.9565217,-73.92974,40.68589
590393.625,4505800,4,1,2,4.69,150,-73.93006,40.69815
593828.5,4499646.5,4,1,1,4.84,99,-73.89033,40.64234
583976.6875,4508281.5,5,1,1,4.75,317.7826087,-74.00567,40.72118
587135.1875,4504885,1,1,1,4.92,75,-73.96875,40.69026
585692.625,4513144,2,1,1,4.73,90.08695652,-73.98469,40.7648
588227.125,4519688.5,2,1,1,5,95,-73.95374,40.82348
588491.75,4507276,2,1,1,4.68,108.5217391,-73.95236,40.71165
599192.75,4505610.5,4,1,2,4.62,95,-73.82596,40.69543
583948.75,4508214.5,2,1,0,4.78,181.2717391,-74.00601,40.72058
588050.8125,4517569.5,2,1,1,5,99,-73.95613,40.80441
587988.375,4509895.5,1,1,1,0,75,-73.95795,40.7353
589324.9375,4506838.5,2,1,1,4.98,999,-73.94256,40.70762
584969.375,4510624.5,5,2,3,5,350,-73.9936,40.74218
586691.5625,4515562.5,3,1,1,4.61,167.9347826,-73.97252,40.78648
585819.8125,4510759.5,1,1,1,4.75,110,-73.98351,40.74331
593497.8125,4506497,2,1,1,5,60.54347826,-73.89322,40.70408
583792.5,4506793,2,1,1,4.2,275,-74.00805,40.70779
585178.5,4503585.5,6,2,2,4.88,250,-73.99208,40.67876
584573.5,4509203,3,1,1,5,175,-73.99848,40.72942
587493.5625,4504162,1,0,1,5,55,-73.96461,40.68371
588690.0625,4504040,4,1,2,4.63,383.0434783,-73.95047,40.68248
584770.5625,4504076,5,2,3,4.67,450,-73.99684,40.68322
589088.8125,4518172.5,4,1,2,4.64,200.0869565,-73.94374,40.80973
587845.875,4518413,1,1,1,4.95,87.95652174,-73.95844,40.81203
587195.3125,4512344.5,4,1,1,4.35,245.5434783,-73.967,40.75744
